brokerage,company_number,company_name,CompanyName, CompanyNumber,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4
Partners& (Oxford),497227,AAA INSURANCE & REINSURANCE BROKERS LIMITED,PARTNERS& LIMITED,497227,HIGH WYCOMBE,BUCKINGHAMSHIRE,ENGLAND,HP13 6NU,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Champion Insurance Brokers,7180321,CHAMPION INSURANCE GROUP LIMITED,CHAMPION INSURANCE GROUP LIMITED,7180321,MANCHESTER,,,M28 3NJ,Private Limited Company,Active,United Kingdom,96090 - Other service activities n.e.c.,,,
James & Lindsay Ltd (Premier),1529926,JAMES & BROWNE (INSURANCE BROKERS) LTD.,JAMES & BROWNE (INSURANCE BROKERS) LTD.,1529926,RUGBY,,ENGLAND,CV22 5AL,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Reich Insurance Brokers Limited,3697314,REICH INSURANCE BROKERS LIMITED,REICH INSURANCE BROKERS LIMITED,3697314,SALFORD,MANCHESTER,,M3 5EQ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Heath Crawford & Foster Ltd (Advantage),2597595,HEATH CRAWFORD & FOSTER LIMITED,HEATH CRAWFORD & FOSTER LIMITED,2597595,WATFORD,HERTFORDSHIRE,ENGLAND,WD24 7GP,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
SEIB Insurance Brokers Limited t/a Lansdown Insurance Brokers,6317314,SEIB INSURANCE BROKERS LIMITED,SEIB INSURANCE BROKERS LIMITED,6317314,GLOUCESTER,,UNITED KINGDOM,GL3 4AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Signature Insurance Services Limited (Hedron Network),5914357,SIGNATURE INSURANCE SERVICES LIMITED,SIGNATURE INSURANCE SERVICES LIMITED,5914357,CHIPPENHAM,WILTSHIRE,UNITED KINGDOM,SN14 6RZ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Crompton Bailey Ltd (Cleo),FC032718,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),FC032718,"XICHEND DISTRICT,",BEIJING,,,Other company type,Active,CHINA,None Supplied,,,
Professional Mortgage Services UK LLP,OC335227,EMU INSURANCE & MORTGAGE BROKERS LIMITED,PROFESSIONAL MORTGAGE SERVICES UK LLP,OC335227,MANCHESTER,,,M1 4JB,Limited Liability Partnership,Active,United Kingdom,None Supplied,,,
Oakwood (Insurances) Limited,850579,OAKWOOD (INSURANCES) LIMITED,OAKWOOD (INSURANCES) LIMITED,850579,BUSHEY,,ENGLAND,WD23 1GG,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Affinity Brokers Ltd (BNL),SC384486,AFFINITY BROKERS LIMITED,AFFINITY BROKERS LIMITED,SC384486,GLASGOW,,,G2 4BL,Private Limited Company,Active,United Kingdom,64999 - Financial intermediation not elsewhere classified,,,
Stonebridge Corporate Ltd (Hedron Network),5452081,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),STONEBRIDGE CORPORATE LIMITED,5452081,EPSOM,SURREY,ENGLAND,KT17 4QJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Profile Insurance Services Ltd (Advantage),3382571,PROFILE INSURANCE SERVICES LIMITED,PROFILE INSURANCE SERVICES LIMITED,3382571,HARROW,MIDDLESEX,,HA1 1UD,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Borland Insurance Ltd (Hedron Network),SC161245,BORLAND INSURANCE LTD,BORLAND INSURANCE LTD,SC161245,EDINBURGH,,,EH2 3JP,Private Limited Company,Active,United Kingdom,64999 - Financial intermediation not elsewhere classified,,,
Romero Insurance Brokers Ltd,3362483,ROMERO INSURANCE BROKERS LIMITED,ROMERO INSURANCE BROKERS LIMITED,3362483,LEEDS,WEST YORKSHIRE,,LS19 7ZA,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Heath Crawford Financial Services LLP (Hedron Network),OC340067,HEATH CRAWFORD FINANCIAL SERVICES LLP,HEATH CRAWFORD FINANCIAL SERVICES LLP,OC340067,ELSTREE,HERTS,UNITED KINGDOM,WD6 3SY,Limited Liability Partnership,Active,United Kingdom,None Supplied,,,
Robins Row Limited (Bognor Regis) (Premier),1792228,PDGD 200 LIMITED,ROBINS ROW LIMITED,1792228,LONG MELFORD,SUDBURY,,CO10 9JB,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Magnet Insurance Services Ltd (Hedron Network),6664153,MAGNET INSURANCE SERVICES LTD,MAGNET INSURANCE SERVICES LTD,6664153,NEWARK,NOTTINGHAMSHIRE,,NG24 2TN,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Kerr Henderson (General Insurance Services) Ltd,NI028521,KERR HENDERSON (GENERAL INSURANCE SERVICES) LIMITED,KERR HENDERSON (GENERAL INSURANCE SERVICES) LIMITED,NI028521,BELFAST,,NORTHERN IRELAND,BT9 6DJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Allbright Bishop Rowley Limited (Hedron Network),4049711,ALLBRIGHT BISHOP ROWLEY LIMITED,ALLBRIGHT BISHOP ROWLEY LIMITED,4049711,LEICESTER,,,LE19 1WP,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Andrew Thompson & Associates Ltd,7281885,ANDREW THOMPSON & ASSOCIATES LTD,ANDREW THOMPSON & ASSOCIATES LTD,7281885,IPSWICH,,ENGLAND,IP10 0LN,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Coversure Insurance Services Ltd,2381990,COVERSURE INSURANCE SERVICES LIMITED,COVERSURE INSURANCE SERVICES LIMITED,2381990,HUNTINGDON,CAMBRIDGESHIRE,,PE29 6SR,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Calcluth & Sangster (Insurance Brokers) Ltd,SC200273,CALCLUTH & SANGSTER (INSURANCE BROKERS) LIMITED,CALCLUTH & SANGSTER (INSURANCE BROKERS) LIMITED,SC200273,LANARKSHIRE,,,G52 3SJ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Ainleys Insurance Consultants (CANX),5548745,AINLEYS INSURANCE BROKERS (BARNSLEY) LIMITED,AINLEYS INSURANCE BROKERS (BARNSLEY) LIMITED,5548745,OSSETT,WEST YORKSHIRE,ENGLAND,WF5 8DH,Private Limited Company,Active,United Kingdom,68209 - Other letting and operating of own or leased real estate,,,
Merritt Insurance Services Ltd,5545941,MERRITT INSURANCE SERVICES LTD,MERRITT INSURANCE SERVICES LTD,5545941,MARKET RASEN,LINCOLNSHIRE,,LN8 5JP,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
A Manning UK Limited (Hedron Network),1807814,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,A. MANNING U.K. LIMITED,1807814,OXFORDSHIRE,,,RG9 1AX,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,98000 - Residents property management,,
Aston Lark Limited (Caterham),2831010,ASTON INSURANCE BROKERS LIMITED,ASTON LARK LIMITED,2831010,LONDON,,UNITED KINGDOM,EC3A 5AF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Arthur J Gallagher (UK) Ltd (Llantrisant),1193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,1193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Ravenhall Risk Solutions Ltd,5863705,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,RAVENHALL RISK SOLUTIONS LIMITED,5863705,WEST YORKSHIRE,,UNITED KINGDOM,LS27 7UY,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
BPS Broking Desk (Hedron Network),8685078,AMA GENERAL INSURANCE BROKING SERVICES LTD,BPS BROKERS LTD,8685078,,,,PO6 4PY,,,,,,,
Aston Lark Limited (Padstow),2831010,ASTON INSURANCE BROKERS LIMITED,ASTON LARK LIMITED,2831010,LONDON,,UNITED KINGDOM,EC3A 5AF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Bruce Stevenson Insurance Brokers (Glasgow),SC207315,BRUCE STEVENSON INSURANCE BROKERS LIMITED,BRUCE STEVENSON INSURANCE BROKERS LIMITED,SC207315,,,,EH6 6HJ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Hazelton Mountford Ltd,6575157,HAZELTON MOUNTFORD LIMITED,HAZELTON MOUNTFORD LIMITED,6575157,MALVERN,WORCESTERSHIRE,,WR14 2JS,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Lockton Companies LLP,FC036658,LOCKTON EDGE INSURANCE BROKERS GMBH,EDGE VERSICHERUNGSMAKLER GMBH,FC036658,HAMBURG,20354,GERMANY,,Other company type,Active,GERMANY,None Supplied,,,
James Brown & Sons (Somerset) Ltd,1529926,JAMES & BROWNE (INSURANCE BROKERS) LTD.,JAMES & BROWNE (INSURANCE BROKERS) LTD.,1529926,RUGBY,,ENGLAND,CV22 5AL,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
One Broker (GDIS) (Willis Network),4688453,BROKER ONE LTD.,ONE BROKER (GDIS) LTD,4688453,NORWICH,,ENGLAND,NR4 6DJ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Yutree Insurance Ltd t.as Yutree Underwriting,7718776,YUTREE INSURANCE LTD,YUTREE INSURANCE LTD,7718776,NEWMARKET,SUFFOLK,,CB8 7SG,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
*DO NOT USE* GRP Retail Ltd t/a Marshall Wooldridge Ltd OLD,9850559,,GRP RETAIL LIMITED,9850559,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Lift Insurance (Hedron Network),8004905,LIFTS EMBARBA LIMITED,LIFT-INSURANCE LTD,8004905,ALTRINCHAM,CHESHIRE,,WA14 1RR,Private Limited Company,Active,United Kingdom,65110 - Life insurance,,,
Gomm (2000) Ltd (Premier),3946863,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),GOMM (2000) LIMITED,3946863,WEST MIDLANDS,,,B72 1NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
Sutcliffe & Co (Hedron Network),1167560,SUTCLIFFE INSURANCE BROKERS LIMITED,SUTCLIFFE INSURANCE BROKERS LIMITED,1167560,WORCESTER,WORCESTERSHIRE,,WR1 2BJ,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Leagold Ltd,4604851,LEAGOLD GENERAL INSURANCE BROKERS LIMITED,LEAGOLD GENERAL INSURANCE BROKERS LIMITED,4604851,,,,N3 2JU,,,,,,,
Abbeyfields Insurance (Wedding Insurance Group),490728,NELSON INSURANCE COMPANY LIMITED,ABBEYFIELDS LIMITED,490728,KENT,,,BR8 7AG,Private Limited Company,Active,United Kingdom,"55300 - Recreational vehicle parks, trailer parks and camping grounds",,,
Simmons Gainsford Insurance Solutions Ltd,4016753,SIMMONS GAINSFORD INSURANCE SOLUTIONS LIMITED,SIMMONS GAINSFORD INSURANCE SOLUTIONS LIMITED,4016753,LONDON,,UNITED KINGDOM,W1G 0PW,Private Limited Company,Active,United Kingdom,64999 - Financial intermediation not elsewhere classified,,,
Marsh Commercial (London),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Headley Group Ltd TA Nugent Debenham (Premier) CANX,4851495,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),HEADLEY GROUP LIMITED,4851495,ALTON,HAMPSHIRE,UNITED KINGDOM,GU34 1HG,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Pyke Smith & Cutler Ltd (Advantage),4540525,PYKE SMITH & CUTLER LIMITED,PYKE SMITH & CUTLER LIMITED,4540525,NORTHAMPTONSHIRE,,,NN1 4EP,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
Guy Penn & Company Ltd (Premier),1019647,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),GUY PENN & COMPANY LIMITED,1019647,SOUTH AND HOVE ROAD,LYTHAM ST ANNES,,FY8 1RP,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
OLD Guardian IB,8048912,OLD OAK INSURANCE BROKERS LIMITED,GUARDIAN IB LIMITED,8048912,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
SG Busby Insurance Brokers (Advantage),1173858,ARDEN INSURANCE BROKERS LIMITED,S.G. BUSBY LIMITED,1173858,HIGH WYCOMBE,BUCKINGHAMSHIRE,,HP11 2PU,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Illingworth Insurance & Financial Services ((Advantage),1076768,C & D FINANCIAL & INSURANCE SERVICES LIMITED,J. ILLINGWORTH AND COMPANY LIMITED,1076768,YORK,NORTH YORKSHIRE,,YO1 7LA,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
A-One Insurance Services (BMTH) Ltd,3473120,A ONE INSURANCE SERVICES (BMTH) LIMITED,A ONE INSURANCE SERVICES (BMTH) LIMITED,3473120,FERNDOWN,DORSET,,BH22 9NH,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
Aston Lark Limited (Farnborough),2831010,ASTON INSURANCE BROKERS LIMITED,ASTON LARK LIMITED,2831010,LONDON,,UNITED KINGDOM,EC3A 5AF,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Dennis Watkins & Co Ltd (Premier),953819,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),DENNIS WATKINS & COMPANY LIMITED,953819,SHOREHAM-BY-SEA,WEST SUSSEX,,BN43 5ZH,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Affinitive Insurance Brokers Ltd,6432257,AFFINITIVE INSURANCE BROKERS LIMITED,AFFINITIVE INSURANCE BROKERS LIMITED,6432257,LONDON,,UNITED KINGDOM,W1D 5EU,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
PSC UK Insurances Ltd t/a Turner Insurance Group,4338485,OPTIS INSURANCES LIMITED (UK BRANCH),PSC UK INSURANCE BROKERS LIMITED,4338485,LONDON,,ENGLAND,EC4N 7BE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Weatherbys Hamilton LLP,OC373141,HAMILTON LEONARD INSURANCE BROKERS LIMITED,WEATHERBYS HAMILTON LLP,OC373141,WELLINGBOROUGH,NORTHAMPTONSHIRE,,NN8 4BX,Limited Liability Partnership,Active,United Kingdom,None Supplied,,,
WTJ Insurance Brokers Ltd,4265252,WTJ INSURANCE BROKERS LIMITED,WTJ INSURANCE BROKERS LIMITED,4265252,OUTWOOD WAKEFIELD,WEST YORKSHIRE,,WF1 2DX,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Robert Gerrard & Co Ltd (Premier),3479475,DAVID ROBERTS & PARTNERS (INSURANCE BROKERS) LIMITED,ROBERT GERRARD & CO LIMITED,3479475,LONDON,,,E4 6AN,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
HFIS Ltd t/a Hamilton Fraser Insurance Solutions,6246499,ESD ASSOCIATE HOLDINGS LIMITED,ESD ASSOCIATE HOLDINGS LIMITED,6246499,BOREHAMWOOD,HERTFORDSHIRE,ENGLAND,WD6 1JH,Private Limited Company,Active,United Kingdom,99999 - Dormant Company,,,
Howe Maxted Group (Hedron Network),1854813,HOWE MAXTED GROUP LIMITED,HOWE MAXTED GROUP LIMITED,1854813,SIDCUP,KENT,,DA14 4BP,Private Limited Company,Active,United Kingdom,65110 - Life insurance,65120 - Non-life insurance,,
A-Plan Insurance (Wilmslow),OE023494,AIOI NISSAY DOWA INSURANCE COMPANY OF EUROPE S.E.,AIOI NISSAY DOWA INSURANCE COMPANY OF EUROPE S.E.,OE023494,SENNINGERBERG,,LUXEMBOURG,L-1748,Overseas Entity,Active,LUXEMBOURG,None Supplied,,,
Williamson Carson Insurance Brokers (Photographers scheme),1282779,WILLIAMSON CARSON AND COMPANY LIMITED,WILLIAMSON CARSON AND COMPANY LIMITED,1282779,LONDON,,ENGLAND,WC1X 8TA,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
PSC UK Insurances Ltd t/a Absolute Insurance Brokers,4338485,PSC UK INSURANCE BROKERS LIMITED,PSC UK INSURANCE BROKERS LIMITED,4338485,LONDON,,ENGLAND,EC4N 7BE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Castleacre Insurance Services Ltd,5114821,CASTLEACRE INSURANCE SERVICES LTD,CASTLEACRE INSURANCE SERVICES LTD,5114821,IPSWICH,,ENGLAND,IP7 5AP,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,65202 - Non-life reinsurance,,
C.C Flint and Company Limited,1639696,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,C.C. FLINT AND COMPANY LIMITED,1639696,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (Edinburgh OPM),1193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,1193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
"A-Plan (RK Harrison, Oak transfer)",750484,OAKES INSURANCE BROKERS LTD,A-PLAN HOLDINGS,750484,WITNEY,OXFORDSHIRE,,OX28 4LE,Private Unlimited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Blue Rock Insurance Brokers Ltd,SC472097,BLUE ROCK INSURANCE BROKERS LTD,BLUE ROCK INSURANCE BROKERS LTD,SC472097,AYR,,SCOTLAND,KA7 2AA,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Home Counties Insurance Services Limited,2532799,HOME COUNTIES INSURANCE SERVICES LIMITED,HOME COUNTIES INSURANCE SERVICES LIMITED,2532799,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
PSC UK Insurances Ltd t/a Abaco Insurance Brokers (Cleo),4338485,PSC UK INSURANCE BROKERS LIMITED,PSC UK INSURANCE BROKERS LIMITED,4338485,LONDON,,ENGLAND,EC4N 7BE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
CoverMy Ltd (Hedron Network),7757031,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),COVERMY LTD,7757031,COLINDALE,LONDON,UNITED KINGDOM,NW9 6BX,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
505 Referrals (HPC),,,,,,,,,,,,,,,
Movo Partnerships Ltd,11544238,MOVO HEALTH & LIFE LTD,MOVO PARTNERSHIP LTD,11544238,CHISLEHURST,,ENGLAND,BR7 5AS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Nowell and Richards Insurance Services Limited,3754519,NOWELL & RICHARDS INSURANCE SERVICES LIMITED,NOWELL & RICHARDS INSURANCE SERVICES LIMITED,3754519,LEEDS,,UNITED KINGDOM,LS20 9LT,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
SJL (Worcester) Ltd t/as SJL Insurance Services,12388315,SJL BUILDING SERVICES LIMITED,SJL LIMITED,12388315,WORCESTER,WORCESTERSHIRE,UNITED KINGDOM,WR4 0QH,Private Limited Company,Active,United Kingdom,70229 - Management consultancy activities other than financial management,,,
ICAEW (HPC),608198,AAA INSURANCE & REINSURANCE BROKERS LIMITED,ICAEW LIMITED,608198,LONDON,,,EC2R 6EA,Private Limited Company,Active,United Kingdom,74990 - Non-trading company,,,
First Insurance Solutions Ltd,7102852,FIRST INSURANCE SOLUTIONS LIMITED,FIRST INSURANCE SOLUTIONS LIMITED,7102852,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Hugh J Boswell (Premier),318993,ALAN BOSWELL INSURANCE BROKERS LIMITED,HUGH J. BOSWELL LIMITED,318993,NORWICH,NORFOLK,UNITED KINGDOM,NR1 2AH,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Marsh Commercial (Carlisle),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Commercial (Witham),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Commercial (Kendal),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Commercial (Penrith),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Marsh Private Clients (PC South),3028313,MARSH & COMPANY INSURANCE BROKERS LIMITED,MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,LEICESTER,,,LE1 6XF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Grosvenor Chester Ltd (Hedron Network),8756967,CHESTERFIELD INSURANCE BROKERS LIMITED,GROSVENOR CHESTER LIMITED,8756967,ELLESMERE PORT,CHESHIRE,,CH65 0AB,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
County Insurance Consultants Ltd t/a Sagar Insurances,4787941,THOMAS SAGAR INSURANCES LIMITED,COUNTY INSURANCE CONSULTANTS LIMITED,4787941,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Hallett Independent Limited (Commercial),4407168,SKB INDEPENDENT INSURANCE BROKERS LTD,HALLETT INDEPENDENT LIMITED,4407168,LYMINGTON,HAMPSHIRE,,SO41 3AS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Quote Four Ltd (Premier),8882472,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),QUOTE FOUR LTD,8882472,DEREHAM,,ENGLAND,NR19 1DR,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
C & C Insurance Brokers Ltd,4439084,C & C INSURANCE BROKERS LIMITED,C & C INSURANCE BROKERS LIMITED,4439084,STOCKPORT,CHESHIRE,ENGLAND,SK6 4DE,Private Limited Company,Active,United Kingdom,64999 - Financial intermediation not elsewhere classified,,,
Hallett Independent Limited (Binder),4407168,SKB INDEPENDENT INSURANCE BROKERS LTD,HALLETT INDEPENDENT LIMITED,4407168,LYMINGTON,HAMPSHIRE,,SO41 3AS,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
*DO NOT USE* Green Insurance Brokers Ltd OLD,2086969,,GREEN INSURANCE BROKERS LIMITED,2086969,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Kingsbridge Risk Solutions Ltd,4122238,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,KINGSBRIDGE RISK SOLUTIONS LIMITED,4122238,TEWKESBURY,GLOUCESTERSHIRE,,GL20 8DN,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Airsports Insurance Bureau Limited,2854801,AIRSPORTS INSURANCE BUREAU LIMITED,AIRSPORTS INSURANCE BUREAU LIMITED,2854801,EASTLEIGH,,ENGLAND,SO53 2LH,Private Limited Company,Active,United Kingdom,96090 - Other service activities n.e.c.,,,
Hudson Foster LLP,7650289,HUDSON FOSTER INSURANCE & RISK MANAGEMENT LTD.,HUDSON FOSTER INSURANCE & RISK MANAGEMENT LTD.,7650289,ILKLEY,WEST YORKSHIRE,,LS29 9LD,Private Limited Company,Active,United Kingdom,64999 - Financial intermediation not elsewhere classified,,,
Ashbourne Insurance Services (Hoddesdon) Ltd (Hedron Network),4235081,ASHBOURNE INSURANCE SERVICES LIMITED,ASHBOURNE INSURANCE SERVICES LIMITED,4235081,WATFORD,HERTS,,WD17 1HP,Private Limited Company,Active,United Kingdom,82990 - Other business support service activities n.e.c.,,,
OLD Allcover T/a LDS Associates & Re,5040684,ALLCOVER INSURANCE BROKERS LTD,ALLCOVER INSURANCE BROKERS LTD,5040684,LONDON,,ENGLAND,EC3R 7NE,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Chambers and Newman Ltd,5080368,NEWMAN INSURANCE BROKERS LTD,CHAMBERS AND NEWMAN LIMITED,5080368,LONDON,,ENGLAND,W1J 0DX,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Arthur J Gallagher (UK) Ltd (HR Owen),1193013,ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,ARTHUR J. GALLAGHER (UK) LIMITED,1193013,LONDON,,,EC4N 8AW,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Sovereign Insurance Services Group (HPC),7401863,SOVEREIGN HEALTH AND INSURANCE SERVICES LIMITED,SOVEREIGN HEALTH AND INSURANCE SERVICES LIMITED,7401863,SHIPLEY,,ENGLAND,BD17 7EZ,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
Stanmore Insurance Brokers Limited,728419,STANMORE INSURANCE BROKERS LIMITED,STANMORE INSURANCE BROKERS LIMITED,728419,BOLTON,LANCASHIRE,,BL3 1NB,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
BJP Insurance Brokers Ltd,3486694,BJP INSURANCE BROKERS LIMITED,BJP INSURANCE BROKERS LIMITED,3486694,LEEDS,WEST YORKSHIRE,ENGLAND,LS20 9LT,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
Jensten Insurance brokers Ltd (Nottingnam),8284692,JENSTEN INSURANCE BROKERS LIMITED,JENSTEN INSURANCE BROKERS LIMITED,8284692,LONDON,,ENGLAND,EC3A 7BB,Private Limited Company,Active,United Kingdom,66220 - Activities of insurance agents and brokers,,,
T L Dallas & Co (NI) Ltd,645405,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),T L DALLAS & CO LIMITED,645405,BRADFORD,WEST YORKSHIRE,,BD12 0HF,Private Limited Company,Active,United Kingdom,65120 - Non-life insurance,,,
